hjd,camera,mag,mag_err,flux,flux_err
2457384.54069,bg,14.305,0.02695,7.274,0.18
2458079.66064,bg,14.308,0.02698,7.254,0.18
2457329.69921,bg,14.282,0.02667,7.435,0.182
2458019.91368,bc,14.713,0.03365,4.97,0.154
2457706.76005,bc,14.279,0.0267,7.411,0.182
2457213.11296,bc,14.491,0.02965,6.097,0.166
2456900.94863,bc,14.256,0.02643,7.568,0.184
2457903.88388,bg,14.274,0.02657,7.486,0.183
2456889.0158,bc,14.253,0.02639,7.59,0.184
2458354.67754,bg,14.304,0.02693,7.286,0.181
2457595.77803,bg,14.284,0.02669,7.416,0.182
2457668.85859,bc,14.297,0.02692,7.291,0.181
2456986.73234,bc,14.3,0.02696,7.27,0.18
2457611.64554,bg,14.266,0.02648,7.545,0.184
2457749.54859,bg,14.258,0.02638,7.599,0.184
2457738.57729,bg,14.196,0.02569,8.042,0.19
2458342.88596,bg,14.333,0.0273,7.092,0.178
2458023.88854,bc,14.273,0.02663,7.456,0.183
2457661.69455,bg,14.422,0.02852,6.533,0.171
2458445.76367,bc,14.336,0.02742,7.035,0.177
2456822.09588,bc,14.26,0.02648,7.545,0.184
2458105.57707,bg,14.298,0.02686,7.32,0.181
2457941.081,bc,14.647,0.03235,5.283,0.157
2458334.00011,bc,14.492,0.02967,6.091,0.166
2457978.0305,bc,14.3,0.02696,7.268,0.18
2457654.63034,bg,14.311,0.02702,7.235,0.18
2457871.92498,bg,14.318,0.02711,7.192,0.179
2456993.77499,bc,14.222,0.02604,7.81,0.187
2458081.65767,bg,14.277,0.02661,7.467,0.183
2457711.76898,bc,14.292,0.02686,7.323,0.181
2458037.78226,bg,14.286,0.02671,7.404,0.182
2457286.72265,bg,14.302,0.02691,7.296,0.181
2457322.73653,bg,14.39,0.02806,6.729,0.174
2457547.82461,bg,14.219,0.02594,7.875,0.188
2456895.95696,bc,14.265,0.02654,7.506,0.183
2458367.67826,bg,14.638,0.03207,5.354,0.158
2457992.95083,bc,14.255,0.02642,7.576,0.184
2458036.76986,bg,14.281,0.02665,7.44,0.182
2457914.81618,bg,14.25,0.02629,7.656,0.185
2458048.84726,bc,14.484,0.02954,6.136,0.167
2457376.57372,bg,14.625,0.03183,5.421,0.159
2457546.81669,bg,14.264,0.02645,7.555,0.184
2457013.70547,bc,14.281,0.02673,7.397,0.182
2458417.84375,bc,14.323,0.02725,7.114,0.178
2458101.57581,bg,14.271,0.02654,7.508,0.183
2458055.51164,bg,14.258,0.02638,7.597,0.184
2457724.62776,bg,14.264,0.02645,7.556,0.184
2457743.55139,bg,14.283,0.02668,7.428,0.182
