hjd,camera,mag,mag_err,flux,flux_err
2456486.03535,bb,16.42,0.1114,1.005,0.103
2458325.96499,ba,16.739,99.99,0.717,0.155
2458012.98283,ba,16.453,0.11134,1.006,0.103
2457670.78445,bb,16.516,0.11806,0.921,0.1
2457391.74394,ba,16.021,0.08352,1.498,0.115
2456967.92595,ba,15.828,0.07277,1.789,0.12
2458417.92556,ba,16.019,99.99,1.231,0.3
2456981.74661,ba,15.886,0.07587,1.697,0.118
2458049.96157,ba,16.325,0.10266,1.132,0.107
2457288.81802,ba,16.75,0.13203,0.765,0.093
2457670.78448,ba,16.419,0.109,1.038,0.104
2456822.08349,bb,16.506,99.99,0.853,0.192
2458071.91175,ba,16.025,0.08375,1.493,0.115
2458446.86537,ba,16.011,0.08293,1.511,0.115
2457544.10104,ba,15.984,0.08136,1.55,0.116
2457228.04227,ba,16.103,0.08843,1.388,0.113
2457984.01115,bb,16.165,0.09443,1.271,0.11
2457574.07102,bb,15.915,0.07937,1.601,0.117
2457222.0365,ba,16.381,0.10642,1.075,0.105
2456906.86941,bb,16.772,0.13589,0.727,0.091
2457233.11198,ba,16.549,0.11799,0.921,0.1
2457177.09552,bb,16.318,99.99,1.013,0.228
2457398.72707,ba,16.11,0.08886,1.38,0.113
2457615.93577,bb,15.884,0.07763,1.648,0.118
2457982.02719,ba,15.949,0.07937,1.601,0.117
2456932.91324,ba,16.071,0.08649,1.43,0.114
2457559.06824,ba,16.32,0.10232,1.137,0.107
2457755.76511,ba,16.253,0.09791,1.21,0.109
2456631.72787,ba,16.393,0.10723,1.064,0.105
2457245.01282,ba,16.523,0.11618,0.944,0.101
2457278.03428,ba,15.886,0.07587,1.696,0.118
2458318.994,ba,16.814,0.13644,0.721,0.09
2457737.81538,bb,16.835,0.14017,0.686,0.088
2457906.11022,ba,15.972,0.08067,1.567,0.116
2457366.77642,bb,16.23,0.09863,1.198,0.109
2457298.0065,ba,16.667,0.12624,0.826,0.096
2456510.94516,ba,16.556,0.11848,0.915,0.1
2458021.02265,bb,16.043,0.08685,1.422,0.114
2456239.87501,ba,16.237,0.09687,1.228,0.109
2457532.11626,ba,15.381,99.99,0.841,0.54
2458018.0099,ba,16.501,0.11465,0.963,0.102
2458378.81111,ba,16.474,0.11278,0.987,0.102
2456491.99799,ba,16.183,0.09341,1.291,0.111
2457207.06618,bb,16.462,0.11431,0.967,0.102
2456818.09454,ba,16.151,0.0914,1.329,0.112
2458338.12437,ba,15.911,0.07724,1.658,0.118
2456917.04774,bb,15.874,0.07708,1.662,0.118
2457290.99201,bb,16.344,0.10622,1.078,0.105
2457196.08997,ba,16.462,0.11196,0.998,0.103
2458309.11036,ba,16.372,0.10581,1.084,0.106
2456533.97936,ba,16.57,0.11946,0.904,0.099
2458066.92379,bb,16.356,0.10703,1.067,0.105
2458423.9381,ba,16.034,0.08428,1.481,0.115
2456448.08203,bb,16.13,0.09222,1.313,0.111
2457023.76993,bb,16.04,0.08667,1.426,0.114
2457390.75484,ba,16.735,0.13099,0.776,0.094
2457657.93782,bb,16.011,0.08493,1.466,0.115
2457314.86649,bb,15.977,0.08293,1.511,0.115
2458434.91025,ba,16.335,0.10332,1.121,0.107
2457612.93029,ba,16.564,0.11904,0.908,0.099
2458026.97059,ba,16.579,0.12009,0.896,0.099
2458065.92809,ba,16.152,0.09146,1.328,0.112
2458447.87317,ba,16.359,0.10493,1.097,0.106
2457359.70649,bb,16.141,0.09291,1.3,0.111
2456986.82577,bb,16.062,0.088,1.398,0.113
2456891.98941,bb,16.054,0.08752,1.408,0.113
2456463.06609,bb,16.203,0.09687,1.227,0.109
2457233.11232,bb,16.423,0.11161,1.003,0.103
2458036.72905,be,16.971,99.99,0.624,0.125
2457248.05621,ba,16.13,0.09009,1.354,0.112
2456516.89994,ba,16.014,0.0831,1.508,0.115
2457928.07678,ba,16.239,0.097,1.225,0.109
2458096.83747,bb,16.468,0.11472,0.962,0.102
2456823.08616,bb,15.845,99.99,0.583,0.352
2457353.77113,ba,16.25,0.09772,1.213,0.109
2457002.80414,ba,15.971,0.08062,1.569,0.116
2456461.05484,bb,16.048,0.08715,1.416,0.114
2457333.91698,ba,16.05,0.08523,1.459,0.114
2457311.83758,ba,16.671,0.12652,0.824,0.096
2457243.10641,ba,15.913,0.07735,1.654,0.118
2457643.8466,ba,16.148,0.09121,1.333,0.112
2457264.05065,bb,15.572,0.06192,2.195,0.125
2456496.99528,ba,16.582,99.99,0.483,0.179
2457943.01114,ba,15.872,0.07511,1.718,0.119
2457398.72672,bb,16.085,0.08941,1.369,0.113
2457603.08594,ba,16.47,0.11251,0.991,0.103
2456914.95414,bb,15.931,0.08027,1.577,0.116
2457409.70361,bb,16.851,99.99,0.658,0.14
2457735.62527,bf,16.253,99.99,0.914,0.242
2457170.10916,bb,16.277,0.10172,1.147,0.107
2457587.067,bb,16.474,0.11514,0.956,0.101
2458007.08919,bb,16.036,0.08643,1.433,0.114
2457023.77028,ba,16.168,0.09247,1.308,0.111
2457980.07016,bb,16.117,0.0914,1.329,0.112
2457392.75149,bb,16.39,0.10935,1.034,0.104
2458101.82551,bb,15.773,0.07167,1.824,0.12
2457409.70394,ba,16.535,99.99,0.803,0.187
2458408.93325,ba,16.738,0.1312,0.774,0.093
2457203.03937,ba,16.93,99.99,0.274,0.13
2457360.75233,bb,16.499,0.11688,0.935,0.101
2457592.10374,ba,16.73,99.99,0.655,0.156
2457317.77328,ba,16.066,0.08619,1.437,0.114
2457353.77085,bb,16.534,0.11932,0.905,0.099
2457207.06581,ba,16.357,0.1048,1.099,0.106
2457327.82632,bb,16.183,0.09558,1.251,0.11
2457973.99703,ba,16.537,99.99,0.731,0.186
2458064.93439,bb,15.883,0.07758,1.649,0.118
2458383.93255,ba,16.45,0.11113,1.009,0.103
2457574.07065,ba,16.053,0.08541,1.454,0.114
2457364.7566,ba,16.748,0.13189,0.767,0.093
2456475.04218,bb,16.011,0.08493,1.465,0.114
2456920.94089,bb,16.376,0.10839,1.046,0.104
2457737.81572,ba,16.557,0.11855,0.915,0.1
2458299.03959,ba,15.823,0.07251,1.798,0.12
2457931.07014,bb,15.874,0.07708,1.663,0.118
2457577.07507,bb,15.972,0.08264,1.519,0.115
2456891.98917,ba,15.856,0.07425,1.744,0.119
2456570.7784,ba,16.18,0.09322,1.295,0.111
2456944.0005,ba,16.433,0.10996,1.025,0.104
2458090.65389,bf,16.146,99.99,1.279,0.267
2458289.06816,ba,16.685,0.1275,0.812,0.095
